State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,
MO,33634,31865,30942,29351,27890,27017,26801,24867,25219,24613,23611,23039,23001,22950,26147,27099,31860,33242,39125,44555,25084,23533,26643,26045,30566,31270,28576,25904,28599,26225,20139,20623,21551,19596,18901,18252,18022,14852,13923,14756,16988,21557,23888,27894,29127,42868,41371,50036,61784,69134,77198,73544,66831,76400,80008,68361,68667,67944,71849,,,,,,,,,,,,,,,,,,,,,,,,
MS,46565,45532,44673,39154,38448,37759,37816,34261,35452,34609,33527,32841,32432,32195,31279,31152,34819,36230,37576,37510,38097,41070,44643,45071,50468,50892,49196,45439,47412,76395,84840,89472,90783,92863,95092,94256,85599,84113,63943,64858,75116,55795,49338,44948,60823,62397,63042,63940,49751,56058,74515,75231,87951,75914,77061,73346,76152,72743,72776,,,,,,,,,,,,,,,,,,,,,,,,
MT,7520,7342,7217,7418,8021,7813,7638,7353,7845,7431,6627,6721,6324,6516,5030,6223,7172,9053,10880,12310,11086,12633,12523,14047,14465,14550,20378,18024,18684,10810,11767,17218,10152,9794,10172,16550,15763,16223,14786,15397,15341,12032,11122,12073,12656,18738,18232,21835,20759,15359,15984,8386,8017,8992,9317,18596,19469,19152,22808,,,,,,,,,,,,,,,,,,,,,,,,
NC,73725,70411,69423,70745,69084,67314,68730,66084,68041,67728,65900,66148,68940,68892,67660,66411,78341,91398,102371,109678,78918,77650,86826,85048,93651,94794,87782,81741,85442,94410,97501,76354,100004,105849,113339,111566,112242,109801,104168,104616,107174,104714,94923,115541,92753,93008,101157,87192,136380,128262,142071,149240,148190,157380,155000,147848,147168,153523,149276,,,,,,,,,,,,,,,,,,,,,,,,
ND,473,438,403,368,368,333,333,351,351,368,386,386,386,386,421,456,473,526,526,561,2448,2451,3168,3390,4163,4528,4718,4399,4412,4398,3273,3682,3707,3545,4211,4428,3355,3578,3700,3778,4273,5490,5285,5791,6101,6757,6529,12724,13804,19798,26035,29258,27762,29974,30604,32366,34399,34567,32863,,,,,,,,,,,,,,,,,,,,,,,,
NE,3108,2948,2675,2573,2311,1901,1848,1743,1673,1603,1567,1602,2582,2669,2652,2775,3138,3398,3794,3933,5903,5603,7067,7360,8816,9582,9116,8501,9024,9918,7757,8422,9884,10376,11008,18477,21620,24589,25179,26697,28044,31405,32589,34722,42026,41346,43059,57824,78385,77950,111082,119032,109263,110190,109310,114463,121088,126650,128818,,,,,,,,,,,,,,,,,,,,,,,,
NH,10855,10663,10783,10934,11654,11015,11563,11546,12628,12779,12315,13277,12953,13912,13396,12840,15332,16619,19286,21005,21716,21847,20695,23974,21898,21996,25585,24031,24957,26553,27230,24322,27770,27877,25252,25314,27749,25682,24266,24434,24022,19915,17256,16337,21702,24446,20797,25861,27356,32801,35943,35670,36249,41530,44447,51507,47647,48569,44997,,,,,,,,,,,,,,,,,,,,,,,,
NJ,20034,20550,20961,23232,23744,24019,24940,25799,28234,29310,30134,29857,31808,33746,36040,33783,37637,40254,43459,46034,51317,56838,51533,62702,51387,52233,44524,41813,44113,36987,25351,35277,37870,36360,41040,43525,41255,39426,38682,39614,40203,29134,27605,25064,25663,27211,45175,50080,47294,62139,68576,65958,62806,68475,70479,59875,62356,59955,57692,,,,,,,,,,,,,,,,,,,,,,,,
NM,6628,6383,6119,6012,6201,5627,5504,5312,5259,5014,4858,4679,4536,4221,4153,5343,5991,7036,7677,9220,5245,6812,7214,8267,8947,9185,9389,6882,7557,6826,5892,6168,5962,5098,5225,6322,5672,6402,6929,6613,7237,4349,4421,4315,4323,13129,13095,14687,16895,14996,19579,19232,17866,19507,18941,20804,20997,20378,23085,,,,,,,,,,,,,,,,,,,,,,,,
NV,946,929,911,894,929,876,876,912,947,999,1051,1069,1052,1016,1052,1244,1332,1507,1718,2033,2760,3728,3867,4130,4456,4603,4349,2680,2810,2836,3253,3535,3796,4159,3201,4257,3555,4488,5185,6290,6761,5926,6199,6856,7035,6555,6173,7190,9605,10066,10413,10111,9303,10305,11481,12513,14177,14642,15710,,,,,,,,,,,,,,,,,,,,,,,,
