State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,53782,50281,57979,45736,62661,56294,45605,52532,49104,51767,45896,62001,66816,73898,71948,73417,58632,55167,56802,81961,56992,30631,56538,64610,66493,42766,26330,53146,29871,72984,70936,61052,59657,51412,74196,56931,61546,57457,58512,37674,32009,26821,35525,72910,54439,53960,38079,29495,29894,50471,46405,37828,35475,65838,45230,44191,40779,35175,60136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,11407,14982,13651,15547,19646,26105,20088,28905,25989,30703,29536,33900,32122,24749,28501,34806,33937,20812,31437,28325,26107,23518,26687,25010,24656,22699,24300,20654,19447,19748,17799,18333,17570,14588,19151,25341,32580,33903,23412,26681,21652,13764,16202,17455,15483,13417,15087,12903,12345,14398,19923,25068,23573,17674,24073,19516,17652,23789,28952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,10317,9884,10298,10626,10489,11663,12107,12135,13040,12929,14383,14243,14240,14243,13509,12624,13240,12738,12303,12899,13875,12510,12672,14157,14037,15051,17528,16329,13940,12083,11859,10902,11122,10326,13533,14706,16564,17080,17160,17579,15309,11616,11165,9924,9145,8714,8861,3434,3414,4233,12818,15713,11962,10723,11010,15702,7906,13719,12582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,14775,12664,14336,13516,12053,11003,12781,12543,12527,15036,13006,11455,13178,16759,15298,13013,15718,14652,11718,12544,10666,14231,13064,14234,13105,11811,13157,10955,11591,13987,19567,16544,14413,14542,15075,14126,19845,16561,16282,14432,14559,10236,11607,13479,13179,17987,15165,12506,16094,16402,14415,15592,11869,13617,13137,11837,10574,13022,12336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,480,199,238,165,203,-326,-1369,-2103,-3555,-3957,-4228,-3236,-2254,-3457,-2944,-2834,-2546,-1744,-1797,-2933,-2934,-2413,-2321,-2394,-2570,-2550,-2989,-3220,-2257,-2542,326,225,231,196,156,113,197,188,211,177,143,186,122,394,376,311,351,207,254,313,177,237,102,174,164,89,88,126,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,745,553,672,457,99,448,706,367,447,668,690,285,210,675,766,660,790,291,312,702,977,920,821,933,979,1336,1738,1711,1036,2423,2137,2474,2638,3029,2196,2722,2187,2643,2411,2482,2256,2452,2692,1728,1392,1650,1966,2649,3077,2645,2117,1892,2120,876,936,927,1366,1780,1361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,21164,18617,20822,18910,16913,16668,18755,18073,18195,17772,17271,17582,16222,17340,16711,17583,16125,16874,17263,17771,24643,18072,14850,43064,58602,45386,47889,26316,21587,19391,18048,24682,20536,20331,19352,20021,22381,26421,32287,28916,24783,25974,23068,17787,16177,17022,20410,19800,17251,24015,21047,21284,23223,25588,22719,21099,16518,16700,17127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,130051,193379,220654,202901,190456,204632,229856,244545,260179,278145,262884,266456,288472,305067,300864,294729,299209,267952,270151,274181,275016,270643,267231,277676,279993,284044,310381,289431,249157,258900,293214,283568,290162,303531,286695,268042,299356,312702,298933,253117,254103,238527,254812,245720,240280,257799,271232,249596,263330,269523,248502,272019,234593,238270,248086,242429,248232,277725,269752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,210,221,180,87,102,111,101,106,87,88,78,93,92,86,101,77,85,61,49,46,63,58,56,1424,1708,1827,1801,2345,1929,1354,1887,1609,2618,1955,1978,2395,4109,5182,4144,4326,5948,5278,4968,5172,7310,5157,6268,4057,3808,5151,4186,3728,3941,5240,4546,4256,4619,2555,2222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,7582,10668,7720,1998,3203,8622,5335,7572,15869,19701,14751,14488,15020,39073,37489,30646,15986,18254,18267,24049,13655,11724,21847,26301,24415,41579,30826,30718,21111,24950,28404,20059,33526,44921,25941,28667,22311,29834,35779,32472,23227,24228,20222,18209,29814,26301,6185,30303,37556,34673,27403,14641,10901,20781,13585,24825,23758,18760,18526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,134134,133046,140560,142933,156986,172561,174133,186321,212612,291449,313901,360068,378605,292446,375956,359650,367033,254455,330634,309204,313951,336166,472761,474208,486873,426032,425898,369450,357979,396494,428982,428798,328033,369723,322069,420363,464333,476985,406882,466705,388818,295984,350085,336660,331337,309453,375437,331978,333115,322407,297970,411131,375027,315785,335341,291255,318960,352802,322671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,19646,15858,16037,13420,13404,13888,15027,19969,12294,9570,14336,8159,15916,14256,14541,16402,14685,12573,7875,12651,7628,6894,19120,12310,15107,10149,15173,11790,7282,15018,29845,20041,26658,24499,28367,20935,31145,22970,24283,19906,23363,17049,22488,33881,31604,22320,28211,22100,25116,26185,22753,31258,21334,24088,25117,24264,21922,28775,38799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,93,85,58,37,41,18,21,55,49,39,35,14,62,47,47,36,34,37,42,35,13,1,36,32,21,0,0,0,0,50,103,104,103,97,96,95,107,77,88,62,50,32,37,61,55,67,59,43,49,46,36,72,41,42,38,29,20,22,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,38849,34488,32377,28027,45563,36758,27188,27688,28098,32273,24064,36515,34744,40597,36082,45926,35418,31831,33227,40983,31421,13136,25396,32589,33169,19169,13223,23016,7017,21296,34306,32470,34237,30413,31309,35650,31445,30212,36397,17255,15643,12663,14138,37112,24508,29379,17923,15379,11067,22760,23185,15100,13515,30152,24432,23897,20551,16906,27437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
