State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
NY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,73,95,117,137,154,174,213,236,296,310,310,328,358,481,538,627,678,739,812,950,1070,1283,1185,1185,1185,1185,1185,1185,1185
OH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,347,377,406,432,493,536,593,642,712,778,778,840,915,1207,1328,1531,1732,2022,2350,2875,3241,3372,3435,3435,3435,3435,3435,3435,3435
OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,5,6,8,8,10,11,14,17,21,23,23,24,24,24,24,24,24,24
OR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,392,401,409,413,409,404,431,435,499,693,763,861,886,901,930,997,994,1012,1005,1061,1114,1286,1476,2803,2977,2898,2928,2839,2837
PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,202,236,270,301,304,335,381,415,477,511,511,544,593,788,872,1009,1128,1293,1481,1790,2018,2180,2162,2162,2162,2162,2162,2162,2162
RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,7,7,8,9,11,14,17,20,127,57,57,57,57,57,57,57
SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,82,89,96,102,94,101,106,114,118,134,134,150,164,213,232,265,307,372,444,554,624,605,648,648,648,648,648,648,648
SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,154,175,197,216,233,248,291,311,386,437,442,479,511,637,706,813,867,933,1456,1576,1716,1962,1868,1868,1868,1868,1868,1868,1868
TN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,26,29,31,33,30,32,34,37,38,43,43,50,54,70,76,87,101,123,146,182,205,199,213,213,213,213,213,213,213
TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,236,272,307,339,341,370,417,451,516,562,562,639,694,914,1007,1161,1296,1486,1699,2057,2316,2488,2478,2478,2478,2478,2478,2478,2478
UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,1144,1793,1707,1799,2238,2004,2365,2347,1942,2463,1920,2463,2226,2159,2113,2088,2165,2815,2539,2534,2503,2562,2325,3294,3490,3449,4027,3993,3851,5769,4811,5287,5239,4866
VA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,125,152,179,205,216,239,279,305,364,384,384,442,481,643,715,830,917,1031,1163,1392,1569,1764,1701,1701,1701,1701,1701,1701,1701
VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,6,8,8,10,11,14,20,25,28,27,29,29,29,29,29,29,29
WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,77,96,116,133,153,174,218,241,313,341,341,343,370,494,553,642,683,728,788,902,1013,1262,1136,1136,1136,1136,1136,1136,1136
WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,79,86,92,98,91,97,103,110,114,129,129,143,156,203,220,252,292,354,421,525,592,574,615,615,615,615,615,615,615
WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,10,10,12,12,14,15,17,23,27,31,30,32,32,32,32,32,32,32
WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649,649,649,649,649,649,649,649,649,649,671,671,671,673,714,718,745,693,644,569,591,598,670,663,663,663,663,663,663,663
US,359,1001,1061,1760,2132,1978,1958,3300,4532,6422,5511,5739,15079,20422,25610,33780,37513,37382,30851,40262,52699,59437,50627,63910,80811,97421,107677,112270,106338,161547,170747,177626,178699,185573,173477,152057,163359,166598,168480,171885,164399,164460,171164,173445,178147,180703,181200,185774,192433,200185,207979,212311,211592,214006,214490,211836,209604,210233,208865
