State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,34957,32478,34382,32328,33210,34786,35031,32385,33828,34190,32822,33768,35695,36452,35899,36949,35632,36725,50237,53947,54794,56622,58968,62679,66022,68755,66440,60506,61444,64343,60972,65660,72610,78149,81517,85646,85300,89951,87839,98801,104646,108048,104032,107570,114862,123801,129807,153230,179586,203855,228195,241815,246678,245901,275703,277657,282761,298590,302168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,41442,45068,40239,33299,31229,35404,33010,31558,39086,39601,33344,30407,29355,43807,44031,40414,39537,37981,49657,55940,30880,30527,43954,44094,47136,62542,49423,40982,44194,37837,43149,32516,37086,52644,38883,38250,31818,31332,38053,33906,23293,33141,37858,34678,44121,54637,43545,62175,84232,92068,101619,96885,86052,99246,98938,94747,92964,100339,108530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,46565,45532,44673,39154,38448,37759,37816,34261,35452,34609,33527,32841,32432,32195,31279,31152,34819,36230,37576,37510,38097,41070,44643,45071,50468,50892,49196,45439,47412,76403,84868,89510,90830,92918,95203,94383,85759,84291,64175,65132,75389,56103,49669,45369,61297,62951,63632,64570,50436,56832,75384,76322,88927,76907,78055,74334,77183,74605,76814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,69936,76550,74894,70429,79375,95505,90332,98163,100651,106143,98397,107251,104348,84637,106573,112007,135822,97331,132188,119406,114608,130992,126686,135671,130479,120845,133794,111016,103727,110781,123371,142264,95817,109033,94371,127489,158531,153272,128284,157020,113793,80654,108732,100455,101639,114898,123334,119592,125438,116456,117221,143495,127821,118144,137744,129472,132756,140466,147074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,127507,120692,127402,116481,131745,123608,114335,118616,117146,119495,111796,128148,135756,142789,139607,139828,136973,146565,159172,191639,135910,108282,143364,149658,160144,137560,114112,134887,115314,167662,168721,137701,159968,157578,187840,168810,174111,167585,163009,142632,139510,131872,130792,188855,147627,147480,139856,117419,167205,179903,189835,188554,186606,228340,209096,206877,222370,243102,273156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,11880,15420,14054,15915,20014,26438,20421,29255,26339,31071,29922,34285,32507,25135,28922,35262,34411,21338,31963,28886,28555,25970,29855,28400,28819,27227,29018,25054,23859,24212,21154,22111,21389,18259,23492,29912,36101,37662,27325,30685,26151,19505,21759,24205,24137,22847,25802,32353,43508,64260,86825,106199,102510,101289,114647,113492,128478,163993,160512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,13425,12832,12973,13199,12801,13563,13955,13879,14714,14532,15950,15845,16822,16912,16161,15399,16378,16136,16096,16832,19778,18113,19739,21516,22853,24632,26645,24830,22964,22066,19705,19436,21140,20857,24719,33382,38423,41932,42665,44610,43687,43413,44226,45556,52142,51713,55259,64219,84810,86963,129192,146181,134685,139353,147598,161057,165363,188640,193504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,25629,23327,25119,24450,23707,22019,24343,24089,25155,27816,25321,24733,26131,30671,28694,25853,31050,31271,31004,33548,32382,36078,33759,38209,35004,33807,38742,34985,36549,40566,46824,40894,42211,42448,40356,39480,47633,42282,40585,38906,38620,30187,28898,29851,34926,42485,36022,38434,43631,49904,51207,52028,50259,59058,61733,67612,62789,66287,62121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,20514,20749,21199,23397,23947,23693,23570,23695,24678,25354,25906,26621,29554,30289,33097,30950,35091,38510,41662,43101,48383,54426,49211,60308,48816,49683,41534,38592,41856,34878,26140,35990,38620,37099,41787,44258,42111,40288,39614,40544,41091,30097,28799,26816,27617,29341,47832,52998,50705,66404,74234,74587,77587,85968,91010,81600,85367,86388,86929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,7373,6937,6791,6469,6300,6075,6210,5678,5706,5682,5548,4965,4746,4896,4919,6002,6781,7328,7989,9922,6223,7731,8035,9201,9926,10521,11126,8592,8594,9918,8718,9344,9308,8838,8156,9787,8595,9762,10043,10226,10611,7911,8188,8743,11715,23592,28385,32004,36695,33262,40278,43726,45404,46394,48195,48924,64739,78052,95157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
