State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,
OH,1269205,1159286,1229713,1243806,1272289,1324406,1420418,1405472,1478634,1556077,1571427,1490481,1561035,1622805,1642125,1619050,1653336,1669162,1622430,1668432,1528107,1534900,1392042,1321092,1361844,1389464,1431837,1433056,1474684,1468632,1425314,1413415,1416870,1431633,1386079,1379803,1447126,1407234,1450165,1382205,1428454,1362828,1396899,1443498,1391290,1481045,1450797,1463773,1438432,1267267,1355137,1222606,1019140,1104486,1057377,865714,825311,810953,717818,,,,,,,,,,,,,,,,,,,,,,,,
OK,1826,1452,1072,1685,1035,697,695,567,465,144,154,164,165,4085,4187,537,1541,12381,43718,60391,106346,157728,203812,219296,230922,237168,217945,240662,269419,270329,278807,312747,328337,355829,333445,369889,373093,392437,370064,360598,381089,376112,391379,393790,372093,397379,384418,373217,391688,373271,346047,378320,327089,335925,336080,280748,221842,198309,171280,,,,,,,,,,,,,,,,,,,,,,,,
OR,8943,9420,8805,7455,6833,7110,6521,4802,3898,3950,3047,3376,2240,2144,3251,2673,5876,5223,4672,4679,12102,25826,11803,9888,11814,10045,2911,3679,3115,6734,15658,32760,40780,37131,44583,20173,20261,16363,36133,38604,38700,43365,37751,44884,36460,35624,26895,45461,41408,33150,42556,35135,28259,38900,34238,26515,19440,18723,16911,,,,,,,,,,,,,,,,,,,,,,,,
PA,1530508,1431872,1477609,1538471,1699047,1751318,1746453,1701151,1725890,1628975,1698980,1619609,1662309,1798616,1661359,1646695,1682817,1577975,1572452,1756262,1636051,1495944,1291496,1337526,1462314,1409068,1318385,1381080,1466212,1490936,1469705,1425228,1473154,1487022,1439646,1484091,1543719,1569642,1466042,1414957,1508091,1392203,1457349,1461986,1474310,1490836,1499292,1491907,1421091,1223937,1310670,1212984,1093178,1126118,1039161,878829,734838,669540,644056,,,,,,,,,,,,,,,,,,,,,,,,
RI,16754,15116,14953,13308,11022,11461,10581,6545,3297,242,228,211,157,149,954,147,146,117,123,122,165,192,197,172,225,213,705,130,4386,679,129,101,123,72,75,74,81,71,59,41,52,50,76,101,76,76,49,39,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
SC,96414,103498,108500,118239,108707,121474,132867,134348,123989,131995,140118,152014,174934,167908,155268,140171,171042,189564,192321,206761,245769,266523,271483,233856,244040,262653,263944,295325,301780,302156,289222,290951,288325,329445,330813,314509,352579,361385,373368,402153,432195,414459,404455,419663,433868,431086,432220,444046,445454,371981,404966,366160,298572,257319,305656,241217,221865,192751,205204,,,,,,,,,,,,,,,,,,,,,,,,
SD,6707,6273,6725,6221,5539,5652,5239,5553,5218,5503,5674,5817,5309,6341,7356,24282,37063,35614,38551,35473,36564,36204,36957,30709,34414,34530,29205,14564,33805,34299,34882,38674,36042,36371,41355,37429,33538,42942,41015,46304,50602,44372,39957,43017,43562,36952,39570,33256,43098,37480,39061,32112,35574,34246,33062,19616,26660,26114,27618,,,,,,,,,,,,,,,,,,,,,,,,
TN,374478,354174,347170,386275,336101,338853,363659,351990,439263,436716,403742,369984,444326,532943,470336,471919,561514,553721,564711,542302,576894,565947,470661,547105,555270,599665,605739,596507,610560,566938,600526,565397,590306,685674,622698,669028,650760,680608,651838,648342,705059,687352,655906,621425,648005,657711,677174,672766,643796,477713,515464,481127,423086,399768,427509,370650,379775,334567,251835,,,,,,,,,,,,,,,,,,,,,,,,
TX,24974,18203,20582,19173,26232,29182,27844,23523,24996,25141,30767,24048,50140,125909,133141,196172,226342,288187,418438,587642,734145,858514,931065,1016758,1074868,1148998,1162745,1203925,1264113,1335906,1333671,1333449,1324063,1430676,1389409,1364800,1485577,1523201,1488589,1530426,1548184,1492977,1550325,1603971,1626029,1627863,1610301,1609155,1605925,1497854,1568060,1695239,1498818,1597357,1585961,1340422,1323111,1451978,1189311,,,,,,,,,,,,,,,,,,,,,,,,
UT,90967,81964,65575,62411,71031,75449,79119,72396,73920,78445,78777,78743,77580,98848,107648,115740,101774,132845,143943,170907,168254,175686,159560,160238,185637,199366,188954,273790,337985,349724,366842,344365,363056,370982,380866,361424,359984,375105,396129,384060,403068,384453,370551,379185,399704,405546,382757,391386,395878,364994,356148,346181,322055,355230,344054,330043,269016,274816,273117,,,,,,,,,,,,,,,,,,,,,,,,
VA,316395,328073,345482,360181,370395,386296,386377,369977,383807,328714,275311,230247,198893,195912,176954,169188,202247,187029,170626,213734,231849,264301,259723,275468,306947,297127,303266,337881,342900,384191,355067,379934,379542,397271,371724,385108,428703,432781,438490,444542,506961,487601,482759,464353,452557,458452,433606,458200,415102,334605,346161,288348,222270,290508,278183,232427,222938,159813,149349,,,,,,,,,,,,,,,,,,,,,,,,
VT,3507,3906,3019,3352,2730,2707,2198,2059,1884,2074,2129,1942,1355,1473,1469,744,579,719,477,595,537,1030,1264,1164,1394,1982,653,315,284,236,201,307,508,145,124,74,42,2695,53,2016,26,50,25,25,25,25,27,34,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
WA,15231,15709,15652,13194,11827,12134,11134,8265,6977,7065,5860,6396,36581,64974,54167,76241,81205,102385,84724,99003,90956,90872,74069,80210,82282,93669,63279,95700,99099,96650,85575,89085,106087,97804,106884,69790,90901,80465,103476,96875,106240,99441,100832,118207,112539,112284,69150,95737,94601,84048,94934,56951,42656,74955,76547,58273,53302,61732,61166,,,,,,,,,,,,,,,,,,,,,,,,
WI,304624,307795,310326,319255,333408,347925,370695,360809,356191,373891,381558,337268,333641,310735,278640,272045,303970,307515,296054,321063,327310,327327,324150,352824,363416,360704,371384,386561,394074,389885,394460,405601,395035,403278,424867,441615,454596,486597,472029,480722,499233,494043,491990,488239,499212,522521,462732,465083,480712,425941,458442,447370,373281,454554,417096,408189,357335,388614,362077,,,,,,,,,,,,,,,,,,,,,,,,
WV,354418,386400,391870,438083,467210,477365,520023,543103,601879,624054,612375,618797,716520,810162,841804,817441,872351,847721,785705,828830,857779,877497,807953,826149,898445,871750,877243,871744,915425,932539,873485,802006,812735,821171,890802,871336,913619,937708,978340,993017,977817,866590,993467,978415,937062,959657,958880,983259,955628,742922,848129,822645,756716,771188,816460,730949,751957,710445,661760,,,,,,,,,,,,,,,,,,,,,,,,
WY,15763,20100,23749,30292,32379,34454,41450,39826,43608,55566,63488,58819,80086,102406,109107,128034,179069,230740,228079,268946,268122,318915,333591,313646,359414,405502,336607,428126,445702,425603,459772,450771,491324,467772,490891,463533,474076,468350,516261,496169,506147,499817,480360,493897,500526,490940,489325,494955,500109,473912,484239,467671,490128,520699,489300,487177,457315,458496,455748,,,,,,,,,,,,,,,,,,,,,,,,
US,9830513,9618013,9904585,10414512,10967543,11582398,12145291,11917043,12337535,12383168,12268895,11603202,12109530,12960121,12651009,12655613,13575890,13907111,13769684,15041652,15460982,15937724,15269049,15867060,17013578,17540071,17240884,17949877,18885663,19055165,19167682,18989140,19117802,19836126,19903559,20098843,21002157,21443603,21583324,21582103,22575538,21906355,21902852,22322634,22464302,22793450,22444214,22747914,22382816,19691342,20828382,19663856,17380923,18038771,17996577,15548985,14227138,13839632,13249958,,,,,,,,,,,,,,,,,,,,,,,,
