State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,219200,222199,241045,245215,231493,224469,243173,245391,267320,278432,300420,313088,332011,361835,353785,337376,386714,418568,416663,391960,351306,332406,309557,324249,347955,345974,351623,360750,399527,381588,387626,399050,387865,397231,394542,401400,408506,435897,452309,457386,472260,481022,478674,495840,569746,547413,551756,533797,502602,513688,494761,477684,464653,481568,479043,510524,520013,526022,529378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,86178,87074,90393,94732,94639,89989,93476,92614,97836,97755,103787,106581,111604,110634,102368,103528,103359,104619,110390,118250,101874,92817,97585,92479,93209,96235,99566,102956,104269,108171,108392,97389,103259,106331,109047,110090,115363,111749,110149,113682,115982,110286,117665,112417,113059,118214,116224,117482,112732,115138,114065,112203,117345,112205,114616,115456,113581,110918,114394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,228239,236525,253947,263331,273631,291325,325849,332976,360748,383337,389234,402895,444471,485933,470394,492805,551645,582671,610104,566792,501001,492503,483674,477721,519409,536800,551741,544135,551907,567114,553207,526118,561444,572761,592881,617783,634454,637049,671267,688943,697006,710393,737577,755961,765424,782703,785896,773597,714765,655987,680759,674674,647965,654212,670987,686867,706748,711451,719462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,1536057,1555772,1633869,1812971,1933568,1963246,2078723,2175645,2346123,2540573,2610292,2672581,2995419,3295589,3312660,3220686,3481271,3885371,4145601,4561292,4451936,4267534,4020260,3995613,4198364,4191428,4323366,4370450,4620740,4651246,4758496,4782851,4986280,4927256,5149512,5121472,5497675,5863047,5934436,5842281,5767121,5773604,5924903,5978967,6161669,5987815,6086196,5917140,5245208,5061252,5515629,5498614,5640533,5980458,5968366,6203035,6356800,6535959,6998850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,127551,126702,136636,136195,136680,142231,154284,151592,161346,170147,165826,179959,186443,190457,199781,203889,207169,211890,216782,213386,200325,168355,166643,176813,176034,174052,188163,192227,196678,190141,193227,205358,201745,205702,210443,227890,242234,245399,250190,256387,267708,260345,258213,276298,277475,287599,310505,299418,279173,264893,263917,283239,275866,284709,281244,283619,293222,298644,303407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,442254,429518,441746,468650,479118,513562,533921,555985,585128,660544,745710,811980,860821,884314,853442,824369,856635,900885,878353,886409,737949,648378,604004,627925,672067,683369,741433,774880,803072,788354,752480,731252,724875,741831,754018,750734,767473,799733,811633,827413,869435,888633,855088,934350,995785,998762,958756,958752,870324,812023,804782,760806,787056,785255,783812,770858,761645,753494,776363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,46623,50463,52473,52519,49575,58909,64284,63731,67645,69754,73893,73664,77415,78922,69940,68977,78973,77992,78180,71419,61631,58643,53063,57921,65699,68469,69182,75708,78546,77571,72019,77556,81981,81392,80554,80434,84587,86534,83046,83770,88067,89212,84489,87073,95317,90539,88725,86757,77454,84509,81859,80297,75753,78991,79947,82237,78040,77600,76332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,356807,363073,373247,379869,393136,405793,432260,447725,498738,516487,506713,520422,555922,572821,539132,548878,558392,600518,621666,621007,594767,600871,582011,523972,598967,607438,675941,701381,735378,761470,763170,761591,847703,759003,794789,815156,820381,822643,822396,848406,835014,768387,736282,723154,749526,768653,795563,820408,766791,732873,726347,712159,733881,709928,695731,748301,822829,794755,801282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,392174,390600,404321,410815,410726,412265,430383,459141,475146,490560,510121,513461,532257,550614,527154,524308,570026,582503,605891,564808,474923,439877,437256,431106,441010,437393,441874,446969,478838,487333,478557,478345,476373,501031,514289,518512,543614,545521,565384,607396,600129,603696,600959,579881,606012,596603,589851,584630,558483,518793,525447,511809,497550,506798,541923,532999,521432,516027,543067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,126727,131972,139292,129969,130542,136937,140775,140768,148069,150546,154461,160762,170824,178310,181101,198211,216353,235436,224998,234025,217628,205098,192255,197978,199755,194395,182865,193284,201175,209562,207656,199249,197870,197702,206789,206589,185803,198854,213149,204099,206488,217958,228699,211544,230361,231304,236344,235366,221682,191823,204033,199927,194758,195778,193585,190358,200271,191866,218584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,75496,81242,90729,86377,85379,86464,82040,95114,105759,109008,102687,108054,111447,121873,124555,129694,139354,153243,169839,174797,173524,160096,147840,114608,115379,117402,110962,125441,128596,129670,122829,109136,113026,119969,119956,129045,132719,131308,128915,147779,145728,156709,150160,159203,153076,155289,166896,169430,169975,163883,167578,169355,173086,163727,173778,160997,155994,158031,162553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,19873652,20168040,20997481,21644489,22240249,23183963,24334435,25272517,26964864,28321627,29500112,30541454,32919160,34806025,33420613,32698781,35141985,37082642,37919119,37075744,34159533,31884079,30179518,29997230,30993084,30867287,32150914,32818384,34173609,34164741,33500896,32790251,33468926,33591507,34457681,34345586,35592566,36069260,36724106,37736847,38156681,38087631,38122145,38713457,40148362,40227276,39743329,39383775,36791612,34801119,35335982,34626132,33839275,34429386,34686375,35404920,35738665,36080731,36901589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
