state_name,state_abb,year,pe_coal,pe_naturalgas,pe_petroleum,pe_nuclear,pe_totalrenew,re_biomass,re_geothermal,re_hydropower,re_solar,re_wind
Arkansas,AR,1963,135,252846,172970,0,41897,36729,0,5168,0,0
Arizona,AZ,1963,8432,169533,144241,0,34861,4028,0,30834,0,0
California,CA,1963,46127,1623370,1915789,2288,360333,93022,1760,265551,0,0
Colorado,CO,1963,88958,180366,189938,0,17410,6571,0,10839,0,0
Connecticut,CT,1963,117384,35575,380064,0,16253,13339,0,2915,0,0
District of Columbia,DC,1963,18598,15335,60510,0,148,105,0,43,0,0
Delaware,DE,1963,26494,17082,128087,0,5356,5356,0,0,0,0
Florida,FL,1963,43281,179441,735066,0,38613,35838,0,2775,0,0
Georgia,GA,1963,115509,195667,343066,0,103171,72407,0,30763,0,0
Hawaii,HI,1963,0,0,113818,0,446,206,0,240,0,0
Iowa,IA,1963,116201,220538,290839,0,13403,5460,0,7943,0,0
Idaho,ID,1963,16589,28366,79238,0,73227,10560,0,62667,0,0
Illinois,IL,1963,912344,655743,1146719,11093,34418,32563,0,1855,0,0
Indiana,IN,1963,815496,297815,615254,0,24007,23463,0,544,0,0
Kansas,KS,1963,16716,367759,268945,0,3798,3624,0,174,0,0
Kentucky,KY,1963,368036,173508,228153,0,47591,23192,0,24399,0,0
Louisiana,LA,1963,2,1128773,578993,0,39147,39147,0,0,0,0
Massachusetts,MA,1963,115969,99924,810041,11181,52762,45338,0,7424,0,0
Maryland,MD,1963,275328,89004,373975,0,35457,25283,0,10175,0,0
Maine,ME,1963,12541,0,168899,0,58874,29001,0,29873,0,0
Michigan,MI,1963,758970,470503,752116,1453,51374,37021,0,14353,0,0
Minnesota,MN,1963,138716,218609,397851,8,32328,23511,0,8817,0,0
Missouri,MO,1963,180670,309136,430599,0,33299,29351,0,3948,0,0
Mississippi,MS,1963,763,222937,173232,0,39154,39154,0,0,0,0
Montana,MT,1963,5372,66566,121231,0,70429,7418,0,63011,0,0
North Carolina,NC,1963,282911,64539,467240,0,116481,70745,0,45736,0,0
North Dakota,ND,1963,24937,32283,110136,0,15915,368,0,15547,0,0
Nebraska,NE,1963,24513,145771,151176,886,13199,2573,0,10626,0,0
New Hampshire,NH,1963,11520,3607,98991,0,24450,10934,0,13516,0,0
New Jersey,NJ,1963,193035,197097,1062840,0,23397,23232,0,165,0,0
New Mexico,NM,1963,15765,239911,117912,0,6469,6012,0,457,0,0
Nevada,NV,1963,3387,20681,71529,0,19804,894,0,18910,0,0
New York,NY,1963,643946,520712,1902730,7017,260059,57158,0,202901,0,0
Ohio,OH,1963,1243806,826138,821093,0,38172,38085,0,87,0,0
Oklahoma,OK,1963,1685,490988,283258,0,10640,8642,0,1998,0,0
Oregon,OR,1963,7455,46731,235270,0,199225,56292,0,142933,0,0
Pennsylvania,PA,1963,1538471,609513,1174614,4221,60798,47377,0,13420,0,0
Rhode Island,RI,1963,13308,15343,140204,0,3221,3183,0,37,0,0
South Carolina,SC,1963,118239,78478,245215,0,69832,41805,0,28027,0,0
South Dakota,SD,1963,6221,25084,94732,0,31784,1291,0,30493,0,0
Tennessee,TN,1963,386275,179197,263331,0,127030,46082,0,80947,0,0
Texas,TX,1963,19173,3044428,1812971,0,42718,37709,0,5009,0,0
Utah,UT,1963,62411,88494,136195,0,5699,2008,0,3691,0,0
Virginia,VA,1963,360181,86240,468650,0,64267,55094,0,9174,0,0
Vermont,VT,1963,3352,0,52519,0,13995,6766,0,7229,0,0
Washington,WA,1963,13194,93433,379869,0,514264,62312,0,451952,0,0
Wisconsin,WI,1963,319255,156163,410815,0,55114,38860,0,16253,0,0
West Virginia,WV,1963,438083,163925,129969,0,21029,12629,0,8400,0,0
Wyoming,WY,1963,30292,55041,86377,0,10641,1430,0,9211,0,0
United States,US,1963,10414512,14419107,21644489,38147,3096431,1323316,1760,1771354,0,0
Alaska,AK,1964,12029,6805,58130,0,8102,4728,0,3374,0,0
Alabama,AL,1964,459000,230316,256646,0,137992,46341,0,91651,0,0
Arkansas,AR,1964,186,278852,184126,0,42732,36860,0,5872,0,0
Arizona,AZ,1964,9103,174623,147476,0,34271,4089,0,30182,0,0
California,CA,1964,53723,1817241,2027468,4369,331757,98436,2132,231188,0,0
Colorado,CO,1964,89600,205251,195500,0,17865,6816,0,11049,0,0
Connecticut,CT,1964,120798,38627,389732,0,16703,13886,0,2817,0,0
District of Columbia,DC,1964,18111,16266,70175,0,138,88,0,50,0,0
Delaware,DE,1964,29241,17826,125502,0,5510,5510,0,0,0,0
Florida,FL,1964,46691,189595,770772,0,39016,35983,0,3033,0,0
Georgia,GA,1964,123813,215579,359649,0,118296,73208,0,45088,0,0
Hawaii,HI,1964,0,0,122004,0,1429,224,0,1205,0,0
Iowa,IA,1964,112797,244609,291326,0,12798,5579,0,7219,0,0
Idaho,ID,1964,18234,33014,84040,0,76892,11059,0,65833,0,0
Illinois,IL,1964,944485,737326,1163221,11710,34491,32631,0,1860,0,0
Indiana,IN,1964,860401,333685,620329,0,23168,22696,0,472,0,0
Kansas,KS,1964,14827,391306,262682,0,3674,3534,0,140,0,0
Kentucky,KY,1964,401711,179666,234448,0,47022,21760,0,25262,0,0
Louisiana,LA,1964,1,1201445,626747,0,39291,39291,0,0,0,0
Massachusetts,MA,1964,123421,108193,838538,14166,54148,47137,0,7011,0,0
Maryland,MD,1964,300629,94255,391581,0,37440,25807,0,11633,0,0
Maine,ME,1964,8082,0,177055,0,55936,30076,0,25860,0,0
Michigan,MI,1964,780945,505780,762674,2293,52769,36600,0,16169,0,0
Minnesota,MN,1964,156354,236502,401486,669,33210,23326,0,9884,0,0
Missouri,MO,1964,183420,332023,437130,0,31229,27890,0,3339,0,0
Mississippi,MS,1964,729,250528,180787,0,38448,38448,0,0,0,0
Montana,MT,1964,5811,69486,123327,0,79375,8021,0,71354,0,0
North Carolina,NC,1964,295013,70932,473652,0,131745,69084,0,62661,0,0
North Dakota,ND,1964,26502,33390,109579,0,20014,368,0,19646,0,0
Nebraska,NE,1964,23650,160545,147140,1082,12801,2311,0,10489,0,0
New Hampshire,NH,1964,11755,3817,97142,0,23707,11654,0,12053,0,0
New Jersey,NJ,1964,206555,209714,1079414,0,23947,23744,0,203,0,0
New Mexico,NM,1964,31271,226697,125717,0,6300,6201,0,99,0,0
Nevada,NV,1964,3234,25579,75647,0,17842,929,0,16913,0,0
New York,NY,1964,739638,527890,1888516,4555,247409,56954,0,190456,0,0
Ohio,OH,1964,1272289,852659,858117,207,38010,37909,0,102,0,0
Oklahoma,OK,1964,1035,522805,286214,0,11373,8170,0,3203,0,0
Oregon,OR,1964,6833,57979,249225,0,215793,58807,0,156986,0,0
Pennsylvania,PA,1964,1699047,632666,1193781,301,60590,47186,0,13404,0,0
Rhode Island,RI,1964,11022,16145,135069,0,3533,3492,0,41,0,0
South Carolina,SC,1964,108707,82101,231493,468,87558,41995,0,45563,0,0
South Dakota,SD,1964,5539,27528,94639,0,33645,1273,0,32372,0,0
Tennessee,TN,1964,336101,191178,273631,0,141564,46394,0,95169,0,0
Texas,TX,1964,26232,3040492,1933568,0,43884,39136,0,4748,0,0
Utah,UT,1964,71031,99071,136680,0,10151,2148,0,8003,0,0
Virginia,VA,1964,370395,91963,479118,0,63580,54594,0,8987,0,0
Vermont,VT,1964,2730,0,49575,0,13500,6556,0,6944,0,0
Washington,WA,1964,11827,113935,393136,0,557343,65254,0,492089,0,0
Wisconsin,WI,1964,333408,173946,410726,0,54980,38951,0,16029,0,0
West Virginia,WV,1964,467210,172374,130542,0,21666,12204,0,9462,0,0
Wyoming,WY,1964,32379,55437,85379,0,10613,1466,0,9147,0,0
United States,US,1964,10967543,15297642,22240249,39819,3225249,1336802,2132,1886314,0,0
Alaska,AK,1965,9888,7670,61705,0,8519,4863,0,3655,0,0
Alabama,AL,1965,533142,236949,261907,0,121888,47641,0,74247,0,0
Arkansas,AR,1965,163,277661,178998,0,46425,35134,0,11291,0,0
Arizona,AZ,1965,7030,166063,145724,0,50095,3695,0,46400,0,0
California,CA,1965,63693,1813213,2089816,3193,418518,97488,1978,319052,0,0
Colorado,CO,1965,98117,204483,198500,0,16369,6569,0,9800,0,0
Connecticut,CT,1965,128613,41720,386912,0,15500,13541,0,1959,0,0
District of Columbia,DC,1965,13804,17315,92330,0,120,88,0,32,0,0
Delaware,DE,1965,29030,18742,133710,0,5577,5577,0,0,0,0
Florida,FL,1965,55189,191669,822724,0,39916,36798,0,3118,0,0
Georgia,GA,1965,152600,219774,390399,0,108022,74215,0,33808,0,0
Hawaii,HI,1965,0,0,129295,0,1265,172,0,1093,0,0
Iowa,IA,1965,126638,249988,293900,0,15160,5462,0,9698,0,0
Idaho,ID,1965,15863,36092,86807,0,79778,10361,0,69417,0,0
Illinois,IL,1965,1014492,778662,1216922,11393,35036,33209,0,1827,0,0
Indiana,IN,1965,900562,357502,647426,0,23060,22081,0,979,0,0
Kansas,KS,1965,15282,440802,276842,0,3499,3358,0,140,0,0
Kentucky,KY,1965,415492,176734,255784,0,47438,21678,0,25760,0,0
Louisiana,LA,1965,0,1156449,637032,0,38299,38299,0,0,0,0
Massachusetts,MA,1965,127922,115712,956316,11407,55636,48698,0,6938,0,0
Maryland,MD,1965,327393,100979,410242,0,39019,27094,0,11925,0,0
Maine,ME,1965,7992,0,171429,0,51675,30050,0,21625,0,0
Michigan,MI,1965,830191,563563,791646,2132,55858,36904,0,18954,0,0
Minnesota,MN,1965,159987,248244,424101,1693,34786,23366,0,11420,0,0
Missouri,MO,1965,189620,347967,461941,0,35404,27017,0,8387,0,0
Mississippi,MS,1965,1020,250626,174275,0,37759,37759,0,0,0,0
Montana,MT,1965,5537,70795,110675,0,95505,7813,0,87692,0,0
North Carolina,NC,1965,325866,78245,494612,0,123608,67314,0,56294,0,0
North Dakota,ND,1965,24746,32437,106897,0,26438,333,0,26105,0,0
Nebraska,NE,1965,20815,164719,140541,-64,13563,1901,0,11663,0,0
New Hampshire,NH,1965,11171,4133,96289,0,22019,11015,0,11003,0,0
New Jersey,NJ,1965,236647,219196,1072225,0,23693,24019,0,-326,0,0
New Mexico,NM,1965,44277,224253,127993,0,6075,5627,0,448,0,0
Nevada,NV,1965,7892,29395,69877,0,17544,876,0,16668,0,0
New York,NY,1965,755238,558658,2109451,8585,262743,58111,0,204632,0,0
Ohio,OH,1965,1324406,909391,917461,255,38720,38609,0,111,0,0
