state_name,year,population_thousands
Florida,2008,18527
Georgia,2008,9505
Hawaii,2008,1332
Iowa,2008,3017
Idaho,2008,1534
Illinois,2008,12747
Indiana,2008,6425
Kansas,2008,2808
Kentucky,2008,4290
Louisiana,2008,4436
Massachusetts,2008,6469
Maryland,2008,5685
Maine,2008,1331
Michigan,2008,9947
Minnesota,2008,5247
Missouri,2008,5924
Mississippi,2008,2948
Montana,2008,976
North Carolina,2008,9309
North Dakota,2008,658
Nebraska,2008,1796
New Hampshire,2008,1316
New Jersey,2008,8711
New Mexico,2008,2011
Nevada,2008,2654
New York,2008,19212
Ohio,2008,11515
Oklahoma,2008,3669
Oregon,2008,3769
Pennsylvania,2008,12612
Rhode Island,2008,1055
South Carolina,2008,4529
South Dakota,2008,799
Tennessee,2008,6247
Texas,2008,24309
Utah,2008,2663
Virginia,2008,7833
Vermont,2008,624
Washington,2008,6562
Wisconsin,2008,5641
West Virginia,2008,1840
Wyoming,2008,546
United States,2008,304094
Alaska,2009,699
Alabama,2009,4758
Arkansas,2009,2897
Arizona,2009,6343
California,2009,36961
Colorado,2009,4972
Connecticut,2009,3562
District of Columbia,2009,592
Delaware,2009,892
Florida,2009,18653
Georgia,2009,9621
Hawaii,2009,1347
Iowa,2009,3033
Idaho,2009,1554
Illinois,2009,12797
Indiana,2009,6459
Kansas,2009,2833
Kentucky,2009,4317
Louisiana,2009,4492
Massachusetts,2009,6518
Maryland,2009,5730
Maine,2009,1330
Michigan,2009,9902
Minnesota,2009,5281
Missouri,2009,5961
Mississippi,2009,2959
Montana,2009,984
North Carolina,2009,9450
North Dakota,2009,665
Nebraska,2009,1813
New Hampshire,2009,1316
New Jersey,2009,8756
New Mexico,2009,2037
Nevada,2009,2685
New York,2009,19307
Ohio,2009,11529
Oklahoma,2009,3718
Oregon,2009,3809
Pennsylvania,2009,12667
Rhode Island,2009,1054
South Carolina,2009,4590
South Dakota,2009,807
Tennessee,2009,6306
Texas,2009,24802
Utah,2009,2723
Virginia,2009,7926
Vermont,2009,625
Washington,2009,6667
Wisconsin,2009,5669
West Virginia,2009,1848
Wyoming,2009,560
United States,2009,306772
Alaska,2010,714
Alabama,2010,4785
Arkansas,2010,2922
Arizona,2010,6407
California,2010,37320
Colorado,2010,5047
Connecticut,2010,3579
District of Columbia,2010,605
Delaware,2010,900
Florida,2010,18846
Georgia,2010,9712
Hawaii,2010,1364
Iowa,2010,3051
Idaho,2010,1571
Illinois,2010,12841
Indiana,2010,6490
Kansas,2010,2858
Kentucky,2010,4348
Louisiana,2010,4545
Massachusetts,2010,6566
Maryland,2010,5789
Maine,2010,1328
Michigan,2010,9878
Minnesota,2010,5311
Missouri,2010,5996
Mississippi,2010,2971
Montana,2010,991
North Carolina,2010,9574
North Dakota,2010,675
Nebraska,2010,1830
New Hampshire,2010,1317
New Jersey,2010,8799
New Mexico,2010,2065
Nevada,2010,2702
New York,2010,19400
Ohio,2010,11539
Oklahoma,2010,3760
Oregon,2010,3837
Pennsylvania,2010,12711
Rhode Island,2010,1054
South Carolina,2010,4636
South Dakota,2010,816
Tennessee,2010,6355
Texas,2010,25242
Utah,2010,2775
Virginia,2010,8024
Vermont,2010,626
Washington,2010,6743
Wisconsin,2010,5690
West Virginia,2010,1854
Wyoming,2010,564
United States,2010,309322
Alaska,2011,722
Alabama,2011,4799
Arkansas,2011,2940
Arizona,2011,6473
California,2011,37642
Colorado,2011,5122
Connecticut,2011,3588
District of Columbia,2011,620
Delaware,2011,907
Florida,2011,19093
Georgia,2011,9802
Hawaii,2011,1379
Iowa,2011,3066
Idaho,2011,1584
Illinois,2011,12867
Indiana,2011,6516
Kansas,2011,2869
Kentucky,2011,4369
Louisiana,2011,4575
Massachusetts,2011,6613
Maryland,2011,5839
Maine,2011,1328
Michigan,2011,9882
Minnesota,2011,5346
Missouri,2011,6010
Mississippi,2011,2978
Montana,2011,997
North Carolina,2011,9657
North Dakota,2011,685
Nebraska,2011,1841
New Hampshire,2011,1320
New Jersey,2011,8828
New Mexico,2011,2080
Nevada,2011,2713
New York,2011,19499
Ohio,2011,11543
Oklahoma,2011,3788
Oregon,2011,3872
Pennsylvania,2011,12745
Rhode Island,2011,1054
South Carolina,2011,4671
South Dakota,2011,823
Tennessee,2011,6397
Texas,2011,25646
Utah,2011,2814
Virginia,2011,8100
Vermont,2011,627
Washington,2011,6822
Wisconsin,2011,5705
West Virginia,2011,1856
Wyoming,2011,567
United States,2011,311580
Alaska,2012,730
Alabama,2012,4816
Arkansas,2012,2952
Arizona,2012,6555
California,2012,37949
Colorado,2012,5193
Connecticut,2012,3595
District of Columbia,2012,635
Delaware,2012,915
Florida,2012,19298
Georgia,2012,9901
Hawaii,2012,1395
Iowa,2012,3076
Idaho,2012,1595
Illinois,2012,12883
Indiana,2012,6538
Kansas,2012,2885
Kentucky,2012,4386
Louisiana,2012,4601
Massachusetts,2012,6663
Maryland,2012,5887
Maine,2012,1328
Michigan,2012,9897
Minnesota,2012,5377
Missouri,2012,6024
Mississippi,2012,2984
Montana,2012,1004
North Carolina,2012,9749
North Dakota,2012,701
Nebraska,2012,1853
New Hampshire,2012,1324
New Jersey,2012,8845
New Mexico,2012,2087
Nevada,2012,2744
New York,2012,19573
Ohio,2012,11549
Oklahoma,2012,3819
Oregon,2012,3899
Pennsylvania,2012,12767
Rhode Island,2012,1055
South Carolina,2012,4717
South Dakota,2012,834
Tennessee,2012,6454
Texas,2012,26084
Utah,2012,2853
Virginia,2012,8185
Vermont,2012,626
Washington,2012,6897
Wisconsin,2012,5720
West Virginia,2012,1857
Wyoming,2012,576
United States,2012,313831
Alaska,2013,737
Alabama,2013,4830
Arkansas,2013,2959
Arizona,2013,6633
California,2013,38261
Colorado,2013,5269
Connecticut,2013,3595
District of Columbia,2013,651
Delaware,2013,924
Florida,2013,19546
Georgia,2013,9972
Hawaii,2013,1408
Iowa,2013,3093
Idaho,2013,1611
Illinois,2013,12895
Indiana,2013,6569
Kansas,2013,2893
Kentucky,2013,4405
Louisiana,2013,4625
Massachusetts,2013,6713
Maryland,2013,5923
Maine,2013,1328
Michigan,2013,9913
Minnesota,2013,5413
Missouri,2013,6041
Mississippi,2013,2989
Montana,2013,1014
North Carolina,2013,9843
North Dakota,2013,722
Nebraska,2013,1865
New Hampshire,2013,1327
New Jersey,2013,8857
New Mexico,2013,2092
Nevada,2013,2776
New York,2013,19624
Ohio,2013,11577
Oklahoma,2013,3853
Oregon,2013,3922
Pennsylvania,2013,12776
Rhode Island,2013,1055
South Carolina,2013,4764
South Dakota,2013,842
Tennessee,2013,6494
Texas,2013,26480
Utah,2013,2898
Virginia,2013,8252
Vermont,2013,626
Washington,2013,6964
Wisconsin,2013,5737
West Virginia,2013,1854
Wyoming,2013,582
United States,2013,315994
Alaska,2014,736
Alabama,2014,4842
Arkansas,2014,2967
Arizona,2014,6730
California,2014,38597
Colorado,2014,5350
Connecticut,2014,3595
District of Columbia,2014,662
Delaware,2014,932
Florida,2014,19846
Georgia,2014,10067
Hawaii,2014,1415
Iowa,2014,3109
Idaho,2014,1631
Illinois,2014,12884
Indiana,2014,6594
Kansas,2014,2900
Kentucky,2014,4414
Louisiana,2014,4644
Massachusetts,2014,6763
Maryland,2014,5957
Maine,2014,1331
Michigan,2014,9930
Minnesota,2014,5451
Missouri,2014,6056
Mississippi,2014,2990
Montana,2014,1022
North Carolina,2014,9933
North Dakota,2014,737
Nebraska,2014,1879
New Hampshire,2014,1333
New Jersey,2014,8865
New Mexico,2014,2090
Nevada,2014,2818
New York,2014,19651
Ohio,2014,11603
Oklahoma,2014,3878
Oregon,2014,3963
Pennsylvania,2014,12788
Rhode Island,2014,1056
South Carolina,2014,4824
South Dakota,2014,849
Tennessee,2014,6541
Texas,2014,26964
Utah,2014,2937
Virginia,2014,8311
Vermont,2014,625
Washington,2014,7055
Wisconsin,2014,5752
West Virginia,2014,1849
Wyoming,2014,583
United States,2014,318301
Alaska,2015,737
Alabama,2015,4852
Arkansas,2015,2978
Arizona,2015,6830
California,2015,38918
Colorado,2015,5451
Connecticut,2015,3587
District of Columbia,2015,675
Delaware,2015,941
Florida,2015,20209
Georgia,2015,10178
Hawaii,2015,1422
Iowa,2015,3121
Idaho,2015,1651
Illinois,2015,12859
Indiana,2015,6608
Kansas,2015,2909
Kentucky,2015,4426
Louisiana,2015,4665
Massachusetts,2015,6794
Maryland,2015,5986
Maine,2015,1328
Michigan,2015,9932
Minnesota,2015,5482
Missouri,2015,6072
Mississippi,2015,2988
Montana,2015,1030
North Carolina,2015,10032
North Dakota,2015,754
Nebraska,2015,1891
New Hampshire,2015,1336
New Jersey,2015,8868
New Mexico,2015,2089
Nevada,2015,2867
New York,2015,19655
Ohio,2015,11618
Oklahoma,2015,3910
Oregon,2015,4016
Pennsylvania,2015,12785
Rhode Island,2015,1056
South Carolina,2015,4892
South Dakota,2015,854
Tennessee,2015,6591
Texas,2015,27470
Utah,2015,2982
Virginia,2015,8362
Vermont,2015,625
Washington,2015,7164
Wisconsin,2015,5761
West Virginia,2015,1842
Wyoming,2015,586
United States,2015,320635
Alaska,2016,741
Alabama,2016,4864
Arkansas,2016,2990
Arizona,2016,6941
California,2016,39167
Colorado,2016,5539
Connecticut,2016,3578
District of Columbia,2016,686
Delaware,2016,949
Florida,2016,20613
Georgia,2016,10302
Hawaii,2016,1428
Iowa,2016,3131
Idaho,2016,1682
Illinois,2016,12821
Indiana,2016,6634
Kansas,2016,2911
Kentucky,2016,4438
Louisiana,2016,4678
Massachusetts,2016,6824
Maryland,2016,6003
Maine,2016,1331
Michigan,2016,9951
Minnesota,2016,5523
Missouri,2016,6087
Mississippi,2016,2988
Montana,2016,1041
North Carolina,2016,10155
North Dakota,2016,754
Nebraska,2016,1906
New Hampshire,2016,1342
New Jersey,2016,8871
New Mexico,2016,2092
Nevada,2016,2918
New York,2016,19633
Ohio,2016,11634
Oklahoma,2016,3926
Oregon,2016,4090
Pennsylvania,2016,12782
Rhode Island,2016,1057
South Carolina,2016,4958
South Dakota,2016,863
Tennessee,2016,6646
Texas,2016,27914
Utah,2016,3042
Virginia,2016,8410
Vermont,2016,624
Washington,2016,7295
Wisconsin,2016,5773
West Virginia,2016,1831
Wyoming,2016,584
United States,2016,322941
Alaska,2017,740
Alabama,2017,4874
Arkansas,2017,3001
Arizona,2017,7044
California,2017,39358
Colorado,2017,5612
Connecticut,2017,3573
District of Columbia,2017,695
Delaware,2017,957
Florida,2017,20964
Georgia,2017,10410
Hawaii,2017,1424
Iowa,2017,3142
Idaho,2017,1718
Illinois,2017,12779
Indiana,2017,6658
Kansas,2017,2909
Kentucky,2017,4452
Louisiana,2017,4671
Massachusetts,2017,6860
Maryland,2017,6024
Maine,2017,1335
Michigan,2017,9973
Minnesota,2017,5566
Missouri,2017,6107
Mississippi,2017,2989
Montana,2017,1052
North Carolina,2017,10268
North Dakota,2017,755
Nebraska,2017,1916
New Hampshire,2017,1349
New Jersey,2017,8886
New Mexico,2017,2092
Nevada,2017,2970
New York,2017,19590
Ohio,2017,11660
Oklahoma,2017,3931
Oregon,2017,4144
Pennsylvania,2017,12788
Rhode Island,2017,1056
South Carolina,2017,5021
South Dakota,2017,873
Tennessee,2017,6709
Texas,2017,28295
Utah,2017,3101
Virginia,2017,8464
Vermont,2017,624
Washington,2017,7423
Wisconsin,2017,5790
West Virginia,2017,1817
Wyoming,2017,579
United States,2017,324986
Alaska,2018,735
Alabama,2018,4888
Arkansas,2018,3010
Arizona,2018,7158
California,2018,39462
Colorado,2018,5691
Connecticut,2018,3572
District of Columbia,2018,702
Delaware,2018,965
Florida,2018,21244
Georgia,2018,10511
Hawaii,2018,1421
Iowa,2018,3149
Idaho,2018,1751
Illinois,2018,12723
Indiana,2018,6695
Kansas,2018,2911
Kentucky,2018,4461
Louisiana,2018,4660
Massachusetts,2018,6883
Maryland,2018,6036
Maine,2018,1339
Michigan,2018,9984
Minnesota,2018,5606
Missouri,2018,6122
Mississippi,2018,2981
Montana,2018,1061
North Carolina,2018,10382
North Dakota,2018,758
Nebraska,2018,1926
New Hampshire,2018,1353
New Jersey,2018,8886
New Mexico,2018,2093
Nevada,2018,3027
New York,2018,19530
Ohio,2018,11676
Oklahoma,2018,3940
Oregon,2018,4182
Pennsylvania,2018,12801
Rhode Island,2018,1058
South Carolina,2018,5084
South Dakota,2018,879
Tennessee,2018,6772
Texas,2018,28629
Utah,2018,3154
Virginia,2018,8501
Vermont,2018,624
Washington,2018,7524
Wisconsin,2018,5807
West Virginia,2018,1804
Wyoming,2018,578
United States,2018,326688
