state_name,year,population_thousands
New Jersey,1966,6851
New Mexico,1966,1007
Nevada,1966,446
New York,1966,17843
Ohio,1966,10330
Oklahoma,1966,2454
Oregon,1966,1969
Pennsylvania,1966,11664
Rhode Island,1966,899
South Carolina,1966,2520
South Dakota,1966,683
Tennessee,1966,3822
Texas,1966,10492
Utah,1966,1009
Virginia,1966,4456
Vermont,1966,413
Washington,1966,3057
Wisconsin,1966,4274
West Virginia,1966,1775
Wyoming,1966,323
United States,1966,196560
Alaska,1967,278
Alabama,1967,3458
Arkansas,1967,1901
Arizona,1967,1646
California,1967,19176
Colorado,1967,2053
Connecticut,1967,2935
District of Columbia,1967,791
Delaware,1967,525
Florida,1967,6242
Georgia,1967,4408
Hawaii,1967,723
Iowa,1967,2793
Idaho,1967,688
Illinois,1967,10947
Indiana,1967,5053
Kansas,1967,2197
Kentucky,1967,3172
Louisiana,1967,3581
Massachusetts,1967,5594
Maryland,1967,3757
Maine,1967,1004
Michigan,1967,8630
Minnesota,1967,3659
Missouri,1967,4539
Mississippi,1967,2228
Montana,1967,701
North Carolina,1967,4952
North Dakota,1967,626
Nebraska,1967,1457
New Hampshire,1967,697
New Jersey,1967,6928
New Mexico,1967,1000
Nevada,1967,449
New York,1967,17935
Ohio,1967,10414
Oklahoma,1967,2489
Oregon,1967,1979
Pennsylvania,1967,11681
Rhode Island,1967,909
South Carolina,1967,2533
South Dakota,1967,671
Tennessee,1967,3859
Texas,1967,10599
Utah,1967,1019
Virginia,1967,4508
Vermont,1967,423
Washington,1967,3174
Wisconsin,1967,4303
West Virginia,1967,1769
Wyoming,1967,322
United States,1967,198712
Alaska,1968,285
Alabama,1968,3446
Arkansas,1968,1902
Arizona,1968,1682
California,1968,19394
Colorado,1968,2120
Connecticut,1968,2964
District of Columbia,1968,778
Delaware,1968,534
Florida,1968,6433
Georgia,1968,4482
Hawaii,1968,734
Iowa,1968,2803
Idaho,1968,695
Illinois,1968,10995
Indiana,1968,5093
Kansas,1968,2216
Kentucky,1968,3195
Louisiana,1968,3603
Massachusetts,1968,5618
Maryland,1968,3815
Maine,1968,994
Michigan,1968,8696
Minnesota,1968,3703
Missouri,1968,4568
Mississippi,1968,2219
Montana,1968,700
North Carolina,1968,5004
North Dakota,1968,621
Nebraska,1968,1467
New Hampshire,1968,709
New Jersey,1968,7005
New Mexico,1968,994
Nevada,1968,464
New York,1968,18051
Ohio,1968,10516
Oklahoma,1968,2503
Oregon,1968,2004
Pennsylvania,1968,11741
Rhode Island,1968,922
South Carolina,1968,2559
South Dakota,1968,669
Tennessee,1968,3878
Texas,1968,10819
Utah,1968,1029
Virginia,1968,4558
Vermont,1968,430
Washington,1968,3270
Wisconsin,1968,4345
West Virginia,1968,1763
Wyoming,1968,324
United States,1968,200706
Alaska,1969,296
Alabama,1969,3440
Arkansas,1969,1913
Arizona,1969,1737
California,1969,19711
Colorado,1969,2166
Connecticut,1969,3000
District of Columbia,1969,762
Delaware,1969,540
Florida,1969,6641
Georgia,1969,4551
Hawaii,1969,750
Iowa,1969,2805
Idaho,1969,707
Illinois,1969,11039
Indiana,1969,5143
Kansas,1969,2236
Kentucky,1969,3198
Louisiana,1969,3619
Massachusetts,1969,5650
Maryland,1969,3868
Maine,1969,992
Michigan,1969,8781
Minnesota,1969,3758
Missouri,1969,4640
Mississippi,1969,2220
Montana,1969,694
North Carolina,1969,5031
North Dakota,1969,621
Nebraska,1969,1474
New Hampshire,1969,724
New Jersey,1969,7095
New Mexico,1969,1011
Nevada,1969,480
New York,1969,18105
Ohio,1969,10563
Oklahoma,1969,2535
Oregon,1969,2062
Pennsylvania,1969,11741
Rhode Island,1969,932
South Carolina,1969,2570
South Dakota,1969,668
Tennessee,1969,3897
Texas,1969,11045
Utah,1969,1047
Virginia,1969,4614
Vermont,1969,437
Washington,1969,3343
Wisconsin,1969,4378
West Virginia,1969,1746
Wyoming,1969,329
United States,1969,202677
Alaska,1970,304
Alabama,1970,3451
Arkansas,1970,1932
Arizona,1970,1792
California,1970,20007
Colorado,1970,2223
Connecticut,1970,3041
District of Columbia,1970,756
Delaware,1970,551
Florida,1970,6848
Georgia,1970,4607
Hawaii,1970,774
Iowa,1970,2832
Idaho,1970,718
Illinois,1970,11128
Indiana,1970,5202
Kansas,1970,2249
Kentucky,1970,3231
Louisiana,1970,3652
Massachusetts,1970,5706
Maryland,1970,3938
Maine,1970,997
Michigan,1970,8890
Minnesota,1970,3815
Missouri,1970,4688
Mississippi,1970,2220
Montana,1970,698
North Carolina,1970,5098
North Dakota,1970,620
Nebraska,1970,1488
New Hampshire,1970,742
New Jersey,1970,7193
New Mexico,1970,1023
Nevada,1970,493
New York,1970,18268
Ohio,1970,10664
Oklahoma,1970,2567
Oregon,1970,2101
Pennsylvania,1970,11813
Rhode Island,1970,951
South Carolina,1970,2597
South Dakota,1970,668
Tennessee,1970,3937
Texas,1970,11236
Utah,1970,1066
Virginia,1970,4659
Vermont,1970,446
Washington,1970,3413
Wisconsin,1970,4429
West Virginia,1970,1751
Wyoming,1970,334
United States,1970,205052
Alaska,1971,316
Alabama,1971,3497
Arkansas,1971,1972
Arizona,1971,1896
California,1971,20346
Colorado,1971,2304
Connecticut,1971,3061
District of Columbia,1971,750
Delaware,1971,565
Florida,1971,7158
Georgia,1971,4712
Hawaii,1971,802
Iowa,1971,2852
Idaho,1971,739
Illinois,1971,11202
Indiana,1971,5253
Kansas,1971,2247
Kentucky,1971,3298
Louisiana,1971,3710
Massachusetts,1971,5738
Maryland,1971,4018
Maine,1971,1015
Michigan,1971,8974
Minnesota,1971,3853
Missouri,1971,4726
Mississippi,1971,2265
Montana,1971,711
North Carolina,1971,5204
North Dakota,1971,627
Nebraska,1971,1505
New Hampshire,1971,762
New Jersey,1971,7281
New Mexico,1971,1054
Nevada,1971,520
New York,1971,18358
Ohio,1971,10735
Oklahoma,1971,2619
Oregon,1971,2151
Pennsylvania,1971,11886
Rhode Island,1971,963
South Carolina,1971,2662
South Dakota,1971,671
Tennessee,1971,4014
Texas,1971,11510
Utah,1971,1101
Virginia,1971,4751
Vermont,1971,454
Washington,1971,3448
Wisconsin,1971,4462
West Virginia,1971,1771
Wyoming,1971,340
United States,1971,207661
Alaska,1972,324
Alabama,1972,3539
Arkansas,1972,2019
Arizona,1972,2008
California,1972,20585
Colorado,1972,2405
Connecticut,1972,3069
District of Columbia,1972,742
Delaware,1972,573
Florida,1972,7511
Georgia,1972,4809
Hawaii,1972,828
Iowa,1972,2860
Idaho,1972,763
Illinois,1972,11252
Indiana,1972,5302
Kansas,1972,2256
Kentucky,1972,3336
Louisiana,1972,3762
Massachusetts,1972,5760
Maryland,1972,4073
Maine,1972,1034
Michigan,1972,9029
Minnesota,1972,3870
Missouri,1972,4759
Mississippi,1972,2307
Montana,1972,719
North Carolina,1972,5301
North Dakota,1972,631
Nebraska,1972,1519
New Hampshire,1972,781
New Jersey,1972,7335
New Mexico,1972,1079
Nevada,1972,547
New York,1972,18339
Ohio,1972,10747
Oklahoma,1972,2659
Oregon,1972,2197
Pennsylvania,1972,11908
Rhode Island,1972,975
South Carolina,1972,2719
South Dakota,1972,677
Tennessee,1972,4095
Texas,1972,11759
Utah,1972,1135
Virginia,1972,4824
Vermont,1972,463
Washington,1972,3448
Wisconsin,1972,4502
West Virginia,1972,1798
Wyoming,1972,347
United States,1972,209896
Alaska,1973,331
Alabama,1973,3580
Arkansas,1973,2059
Arizona,1973,2124
California,1973,20869
Colorado,1973,2496
Connecticut,1973,3068
District of Columbia,1973,731
Delaware,1973,578
Florida,1973,7914
Georgia,1973,4910
Hawaii,1973,852
Iowa,1973,2864
Idaho,1973,782
Illinois,1973,11251
Indiana,1973,5338
Kansas,1973,2266
Kentucky,1973,3371
Louisiana,1973,3788
Massachusetts,1973,5781
Maryland,1973,4098
Maine,1973,1046
Michigan,1973,9078
Minnesota,1973,3889
Missouri,1973,4783
Mississippi,1973,2350
Montana,1973,727
North Carolina,1973,5390
North Dakota,1973,633
Nebraska,1973,1530
New Hampshire,1973,801
New Jersey,1973,7333
New Mexico,1973,1106
Nevada,1973,569
New York,1973,18177
Ohio,1973,10767
Oklahoma,1973,2696
Oregon,1973,2242
Pennsylvania,1973,11891
Rhode Island,1973,976
South Carolina,1973,2777
South Dakota,1973,679
Tennessee,1973,4147
Texas,1973,12020
Utah,1973,1170
Virginia,1973,4901
Vermont,1973,468
Washington,1973,3479
Wisconsin,1973,4524
West Virginia,1973,1806
Wyoming,1973,354
United States,1973,211909
Alaska,1974,341
Alabama,1974,3626
Arkansas,1974,2101
Arizona,1974,2223
California,1974,21174
Colorado,1974,2541
Connecticut,1974,3074
District of Columbia,1974,718
Delaware,1974,581
Florida,1974,8299
Georgia,1974,4999
Hawaii,1974,868
Iowa,1974,2868
Idaho,1974,808
Illinois,1974,11262
Indiana,1974,5362
Kansas,1974,2269
Kentucky,1974,3416
Louisiana,1974,3820
Massachusetts,1974,5774
Maryland,1974,4119
Maine,1974,1059
Michigan,1974,9118
Minnesota,1974,3904
Missouri,1974,4796
Mississippi,1974,2378
Montana,1974,736
North Carolina,1974,5471
North Dakota,1974,635
Nebraska,1974,1539
New Hampshire,1974,816
New Jersey,1974,7332
New Mexico,1974,1131
Nevada,1974,597
New York,1974,18050
Ohio,1974,10766
Oklahoma,1974,2735
Oregon,1974,2285
Pennsylvania,1974,11871
Rhode Island,1974,951
South Carolina,1974,2845
South Dakota,1974,680
Tennessee,1974,4214
Texas,1974,12269
Utah,1974,1200
Virginia,1974,4971
Vermont,1974,473
Washington,1974,3550
Wisconsin,1974,4546
West Virginia,1974,1815
Wyoming,1974,366
United States,1974,213854
Alaska,1975,376
Alabama,1975,3679
Arkansas,1975,2160
Arizona,1975,2285
California,1975,21538
Colorado,1975,2586
Connecticut,1975,3082
District of Columbia,1975,707
Delaware,1975,587
Florida,1975,8518
Georgia,1975,5064
Hawaii,1975,886
Iowa,1975,2881
Idaho,1975,832
Illinois,1975,11292
Indiana,1975,5366
Kansas,1975,2281
Kentucky,1975,3468
Louisiana,1975,3886
Massachusetts,1975,5758
Maryland,1975,4139
Maine,1975,1072
Michigan,1975,9118
Minnesota,1975,3933
Missouri,1975,4808
Mississippi,1975,2399
Montana,1975,748
North Carolina,1975,5547
North Dakota,1975,639
Nebraska,1975,1543
New Hampshire,1975,829
New Jersey,1975,7338
New Mexico,1975,1160
Nevada,1975,620
New York,1975,18003
Ohio,1975,10770
Oklahoma,1975,2775
Oregon,1975,2330
Pennsylvania,1975,11906
Rhode Island,1975,943
South Carolina,1975,2902
South Dakota,1975,681
Tennessee,1975,4276
Texas,1975,12569
Utah,1975,1236
Virginia,1975,5047
Vermont,1975,480
Washington,1975,3621
Wisconsin,1975,4579
West Virginia,1975,1842
Wyoming,1975,382
United States,1975,215973
Alaska,1976,401
Alabama,1976,3735
Arkansas,1976,2170
Arizona,1976,2346
California,1976,21936
Colorado,1976,2632
Connecticut,1976,3083
District of Columbia,1976,692
Delaware,1976,590
Florida,1976,8667
Georgia,1976,5133
Hawaii,1976,904
Iowa,1976,2903
Idaho,1976,857
Illinois,1976,11343
Indiana,1976,5389
Kansas,1976,2301
Kentucky,1976,3529
Louisiana,1976,3951
Massachusetts,1976,5744
Maryland,1976,4151
Maine,1976,1088
Michigan,1976,9129
Minnesota,1976,3965
Missouri,1976,4839
Mississippi,1976,2430
Montana,1976,757
North Carolina,1976,5608
North Dakota,1976,646
Nebraska,1976,1551
New Hampshire,1976,845
New Jersey,1976,7340
New Mexico,1976,1189
Nevada,1976,647
New York,1976,17941
Ohio,1976,10753
Oklahoma,1976,2827
Oregon,1976,2378
Pennsylvania,1976,11897
Rhode Island,1976,946
South Carolina,1976,2944
South Dakota,1976,686
Tennessee,1976,4347
Texas,1976,12904
Utah,1976,1275
Virginia,1976,5122
Vermont,1976,485
Washington,1976,3694
Wisconsin,1976,4596
West Virginia,1976,1880
Wyoming,1976,397
United States,1976,218035
Alaska,1977,403
Alabama,1977,3780
Arkansas,1977,2209
Arizona,1977,2425
California,1977,22352
Colorado,1977,2696
Connecticut,1977,3086
District of Columbia,1977,677
Delaware,1977,592
Florida,1977,8856
Georgia,1977,5220
Hawaii,1977,918
Iowa,1977,2914
Idaho,1977,883
Illinois,1977,11386
Indiana,1977,5426
Kansas,1977,2321
Kentucky,1977,3574
Louisiana,1977,4014
Massachusetts,1977,5738
Maryland,1977,4170
Maine,1977,1104
