state_name,year,rgdp_millions
Wyoming,2004,31530
United States,2004,14406400
Alaska,2005,45052
Alabama,2005,181386
Arkansas,2005,104653
Arizona,2005,263061
California,2005,1990141
Colorado,2005,250840
Connecticut,2005,242485
District of Columbia,2005,99955
Delaware,2005,59974
Florida,2005,806339
Georgia,2005,445533
Hawaii,2005,68566
Iowa,2005,143876
Idaho,2005,55387
Illinois,2005,685897
Indiana,2005,285492
Kansas,2005,122258
Kentucky,2005,168805
Louisiana,2005,245523
Massachusetts,2005,390792
Maryland,2005,305993
Maine,2005,53612
Michigan,2005,450746
Minnesota,2005,282094
Missouri,2005,261530
Mississippi,2005,95228
Montana,2005,37077
North Carolina,2005,407491
North Dakota,2005,29107
Nebraska,2005,88894
New Hampshire,2005,64356
New Jersey,2005,513499
New Mexico,2005,83825
Nevada,2005,139695
New York,2005,1171051
Ohio,2005,543745
Oklahoma,2005,143072
Oregon,2005,158463
Pennsylvania,2005,588055
Rhode Island,2005,52316
South Carolina,2005,166574
South Dakota,2005,35907
Tennessee,2005,264652
Texas,2005,1132796
Utah,2005,109146
Virginia,2005,415087
Vermont,2005,26909
Washington,2005,343362
Wisconsin,2005,262161
West Virginia,2005,65549
Wyoming,2005,33121
United States,2005,14912500
Alaska,2006,48517
Alabama,2006,184796
Arkansas,2006,106940
Arizona,2006,277288
California,2006,2072177
Colorado,2006,256124
Connecticut,2006,251581
District of Columbia,2006,100242
Delaware,2006,61497
Florida,2006,834346
Georgia,2006,450584
Hawaii,2006,70403
Iowa,2006,145887
Idaho,2006,57590
Illinois,2006,704494
Indiana,2006,291269
Kansas,2006,128899
Kentucky,2006,173337
Louisiana,2006,243332
Massachusetts,2006,397743
Maryland,2006,311680
Maine,2006,54270
Michigan,2006,443308
Minnesota,2006,281970
Missouri,2006,263233
Mississippi,2006,97748
Montana,2006,38431
North Carolina,2006,432589
North Dakota,2006,30262
Nebraska,2006,91387
New Hampshire,2006,65945
New Jersey,2006,524056
New Mexico,2006,85891
Nevada,2006,145209
New York,2006,1199904
Ohio,2006,541180
Oklahoma,2006,152659
Oregon,2006,167912
Pennsylvania,2006,592030
Rhode Island,2006,53518
South Carolina,2006,170339
South Dakota,2006,36459
Tennessee,2006,271465
Texas,2006,1210287
Utah,2006,118721
Virginia,2006,423738
Vermont,2006,27132
Washington,2006,356691
Wisconsin,2006,266471
West Virginia,2006,66435
Wyoming,2006,37527
United States,2006,15338300
Alaska,2007,51114
Alabama,2007,185869
Arkansas,2007,106155
Arizona,2007,284907
California,2007,2103618
Colorado,2007,264577
Connecticut,2007,261129
District of Columbia,2007,102956
Delaware,2007,61235
Florida,2007,835867
Georgia,2007,453061
Hawaii,2007,71192
Iowa,2007,152251
Idaho,2007,58703
Illinois,2007,712710
Indiana,2007,299423
Kansas,2007,135667
Kentucky,2007,171869
Louisiana,2007,234620
Massachusetts,2007,407974
Maryland,2007,312093
Maine,2007,54001
Michigan,2007,441148
Minnesota,2007,283212
Missouri,2007,264382
Mississippi,2007,100204
Montana,2007,40379
North Carolina,2007,436437
North Dakota,2007,31668
Nebraska,2007,93388
New Hampshire,2007,65698
New Jersey,2007,526814
New Mexico,2007,86511
Nevada,2007,144405
New York,2007,1202726
Ohio,2007,541411
Oklahoma,2007,155465
Oregon,2007,171114
Pennsylvania,2007,612018
Rhode Island,2007,52087
South Carolina,2007,175090
South Dakota,2007,38057
Tennessee,2007,268756
Texas,2007,1274302
Utah,2007,124498
Virginia,2007,427001
Vermont,2007,26802
Washington,2007,378205
Wisconsin,2007,267936
West Virginia,2007,66522
Wyoming,2007,40335
United States,2007,15626000
Alaska,2008,50884
Alabama,2008,185298
Arkansas,2008,105791
Arizona,2008,277477
California,2008,2111138
Colorado,2008,267713
Connecticut,2008,259722
District of Columbia,2008,106747
Delaware,2008,58656
Florida,2008,803218
Georgia,2008,443416
Hawaii,2008,71689
Iowa,2008,149132
Idaho,2008,59704
Illinois,2008,699430
Indiana,2008,298264
Kansas,2008,138658
Kentucky,2008,172151
Louisiana,2008,235276
Massachusetts,2008,412600
Maryland,2008,315859
Maine,2008,53921
Michigan,2008,416702
Minnesota,2008,285792
Missouri,2008,270608
Mississippi,2008,104386
Montana,2008,40162
North Carolina,2008,446920
North Dakota,2008,34155
Nebraska,2008,93569
New Hampshire,2008,65017
New Jersey,2008,533054
New Mexico,2008,85977
Nevada,2008,138863
New York,2008,1175471
Ohio,2008,537200
Oklahoma,2008,161361
Oregon,2008,173955
Pennsylvania,2008,623821
Rhode Island,2008,50447
South Carolina,2008,174584
South Dakota,2008,39643
Tennessee,2008,272011
Texas,2008,1275774
Utah,2008,123483
Virginia,2008,425804
Vermont,2008,27437
Washington,2008,382380
Wisconsin,2008,264632
West Virginia,2008,67888
Wyoming,2008,42632
United States,2008,15604700
Alaska,2009,55838
Alabama,2009,178021
Arkansas,2009,102528
Arizona,2009,255081
California,2009,2026487
Colorado,2009,262380
Connecticut,2009,248041
District of Columbia,2009,106351
Delaware,2009,60404
Florida,2009,758264
Georgia,2009,426264
Hawaii,2009,69095
Iowa,2009,145618
Idaho,2009,57088
Illinois,2009,682966
Indiana,2009,277474
Kansas,2009,133277
Kentucky,2009,165015
Louisiana,2009,238666
Massachusetts,2009,408062
Maryland,2009,314863
Maine,2009,53064
Michigan,2009,380091
Minnesota,2009,275453
Missouri,2009,265310
Mississippi,2009,99463
Montana,2009,39337
North Carolina,2009,427108
North Dakota,2009,35043
Nebraska,2009,94050
New Hampshire,2009,64450
New Jersey,2009,511150
New Mexico,2009,87667
Nevada,2009,127242
New York,2009,1223229
Ohio,2009,509216
Oklahoma,2009,159236
Oregon,2009,166653
Pennsylvania,2009,605497
Rhode Island,2009,50214
South Carolina,2009,166850
South Dakota,2009,39732
Tennessee,2009,263016
Texas,2009,1271436
Utah,2009,120792
Virginia,2009,425583
Vermont,2009,26997
Washington,2009,372728
Wisconsin,2009,257143
West Virginia,2009,67565
Wyoming,2009,41385
United States,2009,15208800
Alaska,2010,54151
Alabama,2010,182263
Arkansas,2010,105922
Arizona,2010,257485
California,2010,2058138
Colorado,2010,264791
Connecticut,2010,247461
District of Columbia,2010,109964
Delaware,2010,60016
Florida,2010,766199
Georgia,2010,433027
Hawaii,2010,71006
Iowa,2010,149536
Idaho,2010,57907
Illinois,2010,694961
Indiana,2010,295133
Kansas,2010,134945
Kentucky,2010,172045
Louisiana,2010,247351
Massachusetts,2010,424581
Maryland,2010,327234
Maine,2010,53776
Michigan,2010,400941
Minnesota,2010,284864
Missouri,2010,269735
Mississippi,2010,99984
Montana,2010,40544
North Carolina,2010,433404
North Dakota,2010,37696
Nebraska,2010,97857
New Hampshire,2010,66442
New Jersey,2010,516589
New Mexico,2010,87004
Nevada,2010,128827
New York,2010,1269486
Ohio,2010,521095
Oklahoma,2010,159226
Oregon,2010,169016
Pennsylvania,2010,622467
Rhode Island,2010,51468
South Carolina,2010,170166
South Dakota,2010,40130
Tennessee,2010,266727
Texas,2010,1301727
Utah,2010,123330
Virginia,2010,437268
Vermont,2010,28111
Washington,2010,381253
Wisconsin,2010,264841
