state_name,year,tempc,co2_emissions,population_thousands,rgdp_millions,pe_coal,pe_petroleum,pe_naturalgas,pe_nuclear,re_biomass,re_geothermal,re_hydropower,re_solar,re_wind,drought,flooding,freeze,severe_storm,tropical_cyclone,wildfire,winter_storm,state_abb,tempf,pe_totalrenew
Wisconsin,1997,5.912037037037036,103.6,5266,209257,486597,545521,404955,41093,102686,110,25362,230,0,0,0,0,0,0,0,0,WI,42.641666666666666,128387
West Virginia,1997,10.546296296296298,111.2,1819,59236,937708,198854,170349,0,5925,0,11630,43,0,0,0,0,1,0,0,0,WV,50.98333333333333,17598
Wyoming,1997,5.1111111111111125,58.9,489,25240,468350,131308,107907,0,1528,649,14101,2,0,0,0,0,0,0,0,0,WY,41.2,16280
Alabama,1998,18.402777777777786,134.9,4405,148596,856479,518605,341973,300698,209467,18,107730,134,0,1,0,0,1,1,0,0,AL,65.125,317349
Arkansas,1998,17.27777777777778,61.3,2626,84794,254658,321517,272888,137403,81960,152,31781,1033,0,1,0,0,0,0,0,0,AR,63.1,114927
Arizona,1998,15.152777777777779,77.1,4883,183138,386770,468094,161086,317888,12302,238,111863,3713,0,0,0,0,0,0,0,0,AZ,59.275,128116
California,1998,13.726851851851855,358.8,32988,1470393,66157,3315357,2418688,362928,146909,133436,505243,24497,28122,0,0,1,1,0,0,0,CA,56.70833333333334,838207
Colorado,1998,7.916666666666668,78.4,4117,201076,364889,402345,328897,0,15850,412,14908,233,0,0,0,0,0,0,0,0,CO,46.25,31402
Connecticut,1998,10.88425925925926,40.6,3365,196248,32569,417161,134891,34022,44668,0,4571,231,0,0,0,0,0,0,0,0,CT,51.59166666666667,49471
Delaware,1998,14.11574074074074,15.0,763,49743,45817,132144,42322,0,1833,79,0,24,0,0,0,0,0,0,0,0,DE,57.40833333333333,1936
Florida,1998,22.49537037037037,233.5,15487,590135,749474,1837091,529565,326432,171827,2130,2024,29626,0,1,0,0,1,1,0,0,FL,72.49166666666666,205607
Georgia,1998,18.717592592592585,159.0,7864,352713,767394,961594,378549,329212,202938,56,53376,202,0,1,0,0,1,0,0,0,GA,65.69166666666666,256573
Iowa,1998,10.509259259259258,77.6,2903,114230,424859,386346,184856,39525,69391,303,9309,9,1,0,0,0,1,0,0,0,IA,50.91666666666666,79013
Idaho,1998,6.84722222222222,14.2,1252,38791,8783,152565,71912,0,27359,555,131904,2,0,0,0,0,0,0,0,0,ID,44.325,159820
Illinois,1998,12.898148148148149,216.6,12272,595833,949046,1164470,975542,583254,89509,388,1404,180,0,0,0,0,0,0,0,0,IL,55.21666666666667,91481
Indiana,1998,12.749999999999995,219.0,5999,246380,1447976,816296,527435,0,38669,934,4881,33,0,0,0,0,0,0,0,0,IN,54.95,44517
Kansas,1998,13.50925925925926,70.8,2661,108508,309382,377110,325041,109219,9495,249,117,34,0,0,0,0,0,0,0,0,KS,56.31666666666667,9895
Kentucky,1998,14.546296296296294,139.7,3985,151551,958990,580206,212107,0,11476,552,31774,4,0,0,0,0,1,0,0,0,KY,58.18333333333334,43807
Louisiana,1998,20.35648148148148,207.8,4440,208683,225283,1850600,1679040,172341,136243,386,10838,71,0,1,0,0,1,2,0,0,LA,68.64166666666667,147538
Massachusetts,1998,10.203703703703702,84.3,6272,314880,109862,745338,367039,59782,55485,215,10500,213,0,0,0,0,1,0,0,0,MA,50.36666666666667,66413
Maryland,1998,13.893518518518515,75.2,5204,231831,303896,542867,195457,139851,34768,104,17740,49,0,0,0,0,1,0,0,0,MD,57.00833333333333,52661
Maine,1998,6.3842592592592595,19.5,1259,44233,7294,253121,5789,0,113231,0,37892,117,0,0,0,0,0,0,0,1,ME,43.49166666666667,151240
Michigan,1998,9.027777777777779,192.3,9848,406293,826852,982332,871603,131076,93330,1044,14246,262,0,0,0,0,1,0,0,0,MI,48.25,108882
Minnesota,1998,7.171296296296295,92.1,4813,222971,357030,613318,337078,122158,76055,208,9734,345,1497,0,0,0,2,0,0,0,MN,44.90833333333333,87839
Missouri,1998,13.981481481481481,130.4,5522,232074,695687,744664,261463,89349,13923,65,23928,138,0,0,0,0,0,0,0,0,MO,57.16666666666666,38053
Mississippi,1998,18.805555555555557,56.9,2805,85333,125930,461773,252445,96418,63943,223,0,10,0,1,0,0,1,1,0,0,MS,65.85,64175
Montana,1998,6.583333333333334,30.8,892,30466,186099,159543,61398,0,14786,126,113370,2,0,0,0,0,0,0,0,0,MT,43.85,128284
North Carolina,1998,16.01388888888889,143.5,7809,326225,754322,868642,222659,406822,104168,177,58512,152,0,1,0,0,2,1,0,0,NC,60.825,163009
North Dakota,1998,6.22222222222222,49.0,648,23682,409226,112773,45753,0,3700,212,23412,1,0,0,0,0,0,0,0,0,ND,43.2,27325
Nebraska,1998,10.337962962962962,43.3,1696,72310,204797,243768,131114,86643,25179,311,17160,15,0,0,0,0,0,0,0,0,NE,50.60833333333333,42665
New Hampshire,1998,7.7638888888888875,16.8,1206,51603,38623,168062,19233,87988,24266,0,16282,38,0,0,0,0,1,0,0,1,NH,45.975,40585
New Jersey,1998,12.86574074074074,119.2,8287,433779,86235,1114078,696034,284643,38682,90,211,631,0,0,0,0,1,0,0,0,NJ,55.15833333333333,39614
New Mexico,1998,12.324074074074074,55.7,1793,67087,290367,228647,241406,0,6929,184,2411,519,0,0,0,0,0,0,0,0,NM,54.18333333333334,10043
Nevada,1998,9.550925925925924,41.0,1853,94947,184243,220582,154656,0,5185,16523,32287,340,0,0,0,0,0,0,0,0,NV,49.19166666666666,54335
New York,1998,9.078703703703702,204.3,18756,996663,337438,1498639,1266346,328512,160398,296,298933,553,0,0,0,0,1,0,0,1,NY,48.34166666666667,460180
Ohio,1998,12.273148148148149,260.0,11312,487904,1450165,1200238,842630,172847,81012,712,4144,85,0,0,0,0,1,0,0,0,OH,54.09166666666667,85953
Oklahoma,1998,16.717592592592595,97.6,3405,117867,370064,465618,583964,0,24732,2,35779,79,0,1,0,0,0,0,0,0,OK,62.09166666666667,60591
Oregon,1998,8.782407407407408,41.3,3352,124171,36133,385362,239269,0,47373,499,406882,622,199,0,0,0,0,0,0,0,OR,47.80833333333333,455575
Pennsylvania,1998,10.972222222222221,266.1,12246,508484,1466042,1348264,667150,641517,86439,477,24283,490,0,0,0,0,1,0,0,0,PA,51.75,111689
Rhode Island,1998,11.120370370370367,14.0,1031,41788,59,96345,134033,0,4070,0,88,38,0,0,0,0,0,0,0,0,RI,52.01666666666666,4197
South Carolina,1998,18.166666666666668,74.5,3919,140139,373368,452309,164881,511535,93417,118,36397,24,0,1,0,0,1,1,0,0,SC,64.7,129956
South Dakota,1998,8.555555555555555,12.9,746,26452,41015,110149,33370,0,4121,386,58710,0,0,0,0,0,1,0,0,0,SD,47.4,63218
Tennessee,1998,15.643518518518515,121.5,5570,223769,651838,671267,287443,297814,48567,38,110189,61,0,1,0,0,1,0,0,0,TN,60.15833333333333,158854
Texas,1998,19.453703703703702,677.9,20158,928374,1488589,5934436,4377957,405846,99146,516,14529,555,816,1,1,0,1,1,0,0,TX,67.01666666666667,115562
